Марка,Модель,Год выпуска,Цена,Двигатель,Мощность,Коробка передач,Пробег,Владельцы,Поколение,Комплектация,URL,Возраст,Объем двигателя,Марка_код,Модель_код,Тип кузова_джип/suv 5 дв.,Тип кузова_купе,Тип кузова_лифтбек,Тип кузова_минивэн,Тип кузова_не указано,Тип кузова_открытый,Тип кузова_седан,Тип кузова_универсал,Тип кузова_хэтчбек 3 дв.,Тип кузова_хэтчбек 5 дв.,Привод_задний,Привод_передний,Тип КПП_вариатор,Тип КПП_робот,Тип топлива_гибрид,Тип топлива_дизель,Тип топлива_не указано,Руль_правый,Цвет_белый,Цвет_бордовый,Цвет_голубой,Цвет_желтый,Цвет_зеленый,Цвет_золотистый,Цвет_коричневый,Цвет_красный,Цвет_оранжевый,Цвет_розовый,Цвет_серебристый,Цвет_серый,Цвет_синий,Цвет_фиолетовый,Цвет_черный,Поколение_номер,Мощность/Объем,Новый,год,месяц,день,день_недели,квартал,день_года,викенд,сезон,дней_с_публикации
EXEED,VX,2022,2549898,"бензин, 2.0 л",249,робот,43000,1,1 поколение,1073,https://auto.drom.ru/spb/cheryexeed/vx/582634699.html?from=recommend,3,2.0,22,488,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,124.5,0,2025,7,7,0,3,188,0,3,3
Dodge,Caliber,2008,600000,"бензин, 2.0 л",156,вариатор,242059,4,1 поколение,514,https://auto.drom.ru/spb/dodge/caliber/515433354.html?from=recommend,17,2.0,20,127,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1,78.0,0,2025,6,17,1,2,168,0,3,23
Hyundai,Santa Fe,2016,1790000,"дизель, 2.2 л",200,АКПП,196300,1,"3 поколение, рестайлинг",628,https://auto.drom.ru/spb/hyundai/santa_fe/695994561.html?from=recommend,9,2.2,35,423,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,3,90.9090909090909,0,2025,6,29,6,2,180,1,3,11
Volvo,XC90,2017,3200000,"дизель, 2.0 л",235,АКПП,176000,2,2 поколение,505,https://auto.drom.ru/spb/volvo/xc90/342465766.html?from=recommend,8,2.0,80,526,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,2,117.5,0,2025,6,18,2,2,169,0,3,22
Skoda,Octavia,2013,1245000,"дизель, 2.0 л",143,робот,183240,2,3 поколение,1073,https://auto.drom.ru/spb/skoda/octavia/839118173.html?from=recommend,12,2.0,70,345,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,3,71.5,0,2025,7,9,2,3,190,0,3,1
Toyota,Land Cruiser,2017,5099000,"дизель, 4.5 л",249,АКПП,279087,1,"11 поколение, 2 рестайлинг",1073,https://auto.drom.ru/spb/toyota/land_cruiser/187492962.html?from=recommend,8,4.5,78,284,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,11,55.333333333333336,0,2025,6,30,0,2,181,0,3,10
Volkswagen,Multivan,2007,1690000,"дизель, 2.5 л",131,механика,277800,4,5 поколение,718,https://auto.drom.ru/spb/volkswagen/multivan/312532874.html?from=recommend,18,2.5,79,328,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,5,52.4,0,2025,6,24,1,2,175,0,3,16
BMW,5-Series,2024,7800000,"дизель, 2.0 л",197,АКПП,9997,1,8 поколение,1073,https://auto.drom.ru/spb/bmw/5-series/415700039.html?from=recommend,1,2.0,5,43,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,8,98.5,0,2025,6,11,2,2,162,0,3,29
Nissan,X-Trail,2008,900000,"бензин, 2.5 л",169,вариатор,277000,3,2 поколение,1073,https://auto.drom.ru/spb/nissan/x-trail/828728752.html?from=recommend,17,2.5,57,508,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,2,67.6,0,2025,6,19,3,2,170,0,3,21
BMW,X4,2019,4510000,"дизель, 2.0 л",190,АКПП,36429,1,2 поколение,1041,https://auto.drom.ru/spb/bmw/x4/906168267.html?from=recommend,6,2.0,5,514,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,95.0,0,2025,7,8,1,3,189,0,3,2
