Марка,Модель,Год выпуска,Цена в г.Владивосток,Цена на аукционе,Двигатель,Мощность,Пробег,URL,Возраст,Марка_код,Модель_код,Коробка передач_механика,Коробка передач_не указано,Цвет_желтый,Цвет_зеленый,Цвет_золотой,Цвет_коричневый,Цвет_не указано,Цвет_оранжевый,Цвет_розовый,Цвет_серебристый,Цвет_серый,Цвет_синий,Цвет_фиолетовый,Цвет_черный,Новый,год,месяц,день,день_недели,квартал,день_года,викенд,сезон,дней_с_публикации
Buick,"GL8  автомат, 2021, 9200",2021,2861419,1388800,2000,,9200,https://autosender.ru/avto-iz-kitaya/buick/gl8/19905185,4,7,3318,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0,2025,3,7,4,1,66,0,2,125
Changan,"UNI-V  автомат, 2022, 3500",2022,2861419,520800,1500,,3500,https://autosender.ru/avto-iz-kitaya/changan/uni-v/19905169,3,9,6205,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,2025,3,7,4,1,66,0,2,125
BMW,"X3 M  автомат, 2020, 7700",2020,2861419,2224250,2000,,7700,https://autosender.ru/avto-iz-kitaya/bmw/x3-m/19903574,5,4,6470,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,2025,3,7,4,1,66,0,2,125
Volkswagen,"Passat  автомат, 2022, 5000",2022,2861419,1117550,1400,,5000,https://autosender.ru/avto-iz-kitaya/volkswagen/passat/19902524,3,66,4753,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,2025,3,7,4,1,66,0,2,125
Volkswagen,"Tiguan  автомат, 2021, 2100",2021,2861419,1279215,1400,,2100,https://autosender.ru/avto-iz-kitaya/volkswagen/tiguan/19901428,4,66,6048,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,2025,3,7,4,1,66,0,2,125
Mercedes-Benz,"C-klasse AMG  автомат, 2019, 7800",2019,2861419,1625330,1500,,7800,https://autosender.ru/avto-iz-kitaya/mercedes-benz/c-klasse-amg/19900663,6,49,1702,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2025,3,7,4,1,66,0,2,125
Volkswagen,"Teramont  автомат, 2023, 2570",2023,2861419,2373980,2000,,2570,https://autosender.ru/avto-iz-kitaya/volkswagen/teramont/19899558,2,66,5972,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,2025,3,7,4,1,66,0,2,125
Volkswagen,"Jetta  автомат, 2021, 5100",2021,2861419,751905,1400,,5100,https://autosender.ru/avto-iz-kitaya/volkswagen/jetta/19899481,4,66,3796,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2025,3,7,4,1,66,0,2,125
Mercedes-Benz,"C-klasse AMG  автомат, 2018, 8600",2018,2861419,1655710,2000,,8600,https://autosender.ru/avto-iz-kitaya/mercedes-benz/c-klasse-amg/19897646,7,49,1664,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,2025,3,7,4,1,66,0,2,125
BMW,"M4  автомат, 2021, 3800",2021,2861419,6922300,3000,,3800,https://autosender.ru/avto-iz-kitaya/bmw/m4/19897084,4,4,4158,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2025,3,7,4,1,66,0,2,125
